"34","Высота, см","ru",
"35","Высота чаши, см","ru",
"36","Родина бренда","ru",
"37","Крепление","ru",
"38","Готовых отверстий для смесителя","ru",NULL
"39","Намеченных отверстий для смесителя","ru",NULL
"40","Система антивсплеск","ru","Система «антивсплеск» – особый вид воронки унитаза, которая по ширине несколько уже обычной и слегка изогнута. Такая сложная форма обеспечивает высокий уровень гигиены благодаря отсутствию разбрызгивания. Унитазы, оснащенные системой «антивсплеск», просты в использовании и не требуют сложной уборки."
"41","Полочка в чаше","ru","Полочка в чаше представляет собой горизонтальную площадку внутри чаши унитаза. Предназначена для исключения разбрызгивания при смыве. Основным недостатком является возможность образования налета и впитывания неприятных запахов, так как на данной полочке могут скапливаться и загрязнения, и вода."
"42","Направление выпуска","ru","Направление выпуска унитаза – важный параметр при выборе изделия. Именно он определяет особенности подключения устройства к системе канализации. При наличии канализационной трубы в полу направление выпуска должно быть вертикальным – подсоединение параллельно стене, угол между сливным отверстием унитаза и полом равен 90 градусов. При горизонтальном выпуске – подсоединение «в стену», параллельно полу. При косом (наклонном) – угол равен 30-45 градусов, и подсоединение будет осуществляться на стыке стены и пола."
"43","Гарантия производителя","ru",
"44","Объем смывн. бачка, л","ru","Современные унитазы обычно оборудованы многоступенчатой системой смыва. Она представляет собой механизм автоматического регулирования подачи воды из смывного бачка: при первом нажатии на кнопку (или другой заменяющий ее элемент системы смыва) опустошается не весь объем бачка, а только его часть. Первая цифра в этой характеристике (фильтре) показывает данную часть – объем сливаемой из бачка воды при первом нажатии на кнопку. Второе число, идущее после слеша («/»), указывает на объем сливаемой воды при последующем нажатии. Если унитаз не оборудован механизмом многоступенчатого смыва, указана лишь одна цифра, так как при первом же нажатии на кнопку из бачка выльется вся содержащаяся в нем вода."
"45","Подвод воды в бачок","ru",
"47","Вид установки","ru",NULL
"48","Форма","ru",
"49","Объём, л","ru",NULL
"50","Антискользящее покрытие","ru",NULL
"51","Монтаж","ru",
"52","Система хранения","ru",
"53","Материал фасада","ru",
"54","Бренд","ru",
"55","Стилистика дизайна","ru",
"56","Безободковый","ru",
"57","Метод установки сливного бачка","ru",
"58","Режим слива воды","ru",
"59","Механизм слива","ru",
"60","Фурнитура","ru",
"61","Сиденье в комплекте","ru",
"62","Крышка-сиденье","ru",
"66","Материал корпуса","ru",
"65","Угловая конструкция","ru",
"67","Вариант установки","ru",
"68","Длина, см.","ru",
"69","Вес кг","ru",
"70","Быстросъёмный механизм","ru",
"71","Типоразмер ширина,см","ru",
"73","Коллекция","ru",
"74","Сортировка доп товаров","ru",
"75","Бесшумное опускание сиденья и крышки ","ru",
"76","Электроприводное  сиденье и крышка","ru",
"77","Регулируемая температура сиденья","ru",
"78","Сенсор для обнаружения человека","ru",
"79","Скрытый подвод воды/электропитания","ru",
"80","Автоматическое очищение душевого стержня и форсунк","ru",
"81","Антибактериальные свойства материалов сиденья и ст","ru",
"82","Форсунка снимается для мытья и замены","ru",
"83","Возможность полного снятия сиденья для дизинфекции","ru",
"84","Сиденье и крышка легко снимаются одной рукой","ru",
"85","Автоматический дренаж воды при длительном неисполь","ru",
"86","Душ для ягодиц","ru",
"87","Душ для дам","ru",
"88","Комфортынй душ ","ru",
"89","Функция массажа с пульсацией ","ru",
"90","Регулируемое положение душевого стержня","ru",
"91","Регулируемая мощность водной струи ","ru",
"92","Регулируемая температура воды ","ru",
"93","Регулируемая температура фена ","ru",
"94","Программиремые профили пользователя ","ru",
"95","Функция ночной подсветки ","ru",
"96","Пульт дистанционного управления (ПДУ)","ru",
"97","Блокировка управления функциями с помощью ПДУ","ru",
"98","Подсветка кнопок индикацией ","ru",
"99","Незамедлительный подогрев воды для душа","ru",
"100","Режим экономии энергии ","ru",
"101","Номинальное напряжение,В","ru",
"102","Частота,Гц","ru",
"103","Макс. мощность,Вт","ru",
"104","Напор воды,МПа","ru",
"105","Макс жесткость воды,ммоль/л","ru",
"106","Защита от водяных брызг","ru",
"107","Температура при эксплуатации , °C ","ru",
"108","Температура воды,C ","ru",
"109","Температура сиденья,С","ru",
"110","Температура фена,С","ru",
"111","Подходит только для унитазов ","ru",
"112","В сочетании только с SensoWash ","ru",
"113","Комплектом дешевле","ru",
"114","Показать на главной","ru",
"115","Глубина мм ","ru",
"116","Высота мм ","ru",
"117","Ширина мм ","ru",
"118","Тип продукта ","ru",
"119","Нагрузка на дверцу, кг ","ru",
"120","Размер дверцы (Ш*В), мм ","ru",
"121","Шумоизоляция ","ru",
"122","Пылеизоляция ","ru",
"123","Водонепроницаемость ","ru",
"124","Противопожарный ","ru",
"125","Регулируемые петли ","ru",
"126","Усиленный ","ru",
"127","Конструкция дверей ","ru",
"128","Заполнение дверцы ","ru",
"129","Скрытый ","ru",
"130","Способ открывания ","ru",
"131","Для установки в ","ru",
"132","Регулировка положения дверцы ","ru",
"133","Тип замка ","ru",
"134","Фактура  ","ru",
"135","Материал ","ru",
"136","Длина излива, см ","ru",
"137","Высота излива, см ","ru",
"138","Оснащение  ","ru",
"139","Тип подводки  ","ru",
"140","Ограничение температуры  ","ru",
"141","Донный клапан ","ru",
"142","Защита от обратного потока ","ru",
"143","Вращение излива ","ru",
"144","Дополнительные функции   ","ru",
"145","Функция экономии расхода  ","ru",
"146","Стандарт подводки  ","ru",
"147","Поверхность  ","ru",
"148","Размер розетки, мм   ","ru",
"149","Объем мл  ","ru",
"150","Расход воды, л/мин  ","ru",
"151","Механизм   ","ru",
"152","Длина шланга, см  ","ru",
"153","Управление  ","ru",
"154","тип","ru",
"155","Подключение","ru",
"156","Страна производитель","ru",
"157","Область применения","ru",
"158","Гарантия","ru",
"159","Количество секций","ru",
"160","Тип монтажа","ru",
"161","Межосевое расстояние, см","ru",
"162","Направление подключения","ru",
"163","Рабочее давление, бар","ru",
"170","Назначение","ru",
"165","Время нагрева, мин","ru",
"166","Теплоноситель","ru",
"167","Электровыключатель ","ru",
"168","Автоотключение при нагреве","ru",
"169","Терморегулятор","ru",
"171","Режим слива воды ","ru",
"172","Монтажная высота, см","ru",
"173","Монтажная глубина, см","ru",
"174","Межосевое расстояние под крепеж. шпильки, см","ru",
"175","Диаметр переходника для слива, см","ru",
"176","Диаметр слива, см","ru",
"177","Напряжение, В","ru",NULL
"178","Мощность, Вт","ru",
"179","Ширина, см","ru",NULL
"180","Функция обогрева помещения","ru",
"181","Поворотный","ru",NULL
"182","Крепление к стене в комплекте","ru",NULL
"183","Звукоизолирующая прокладка в комплекте","ru",NULL
"184","Панель смыва в комплекте","ru",NULL
"185","Регулировка глубины монтажа","ru",NULL
"186","Регулировка продолжительности смыва","ru",NULL
"187","Тип уравления","ru",NULL
"188","Технологии","ru",NULL
"189","Цвет клавиши","ru",NULL
"190","Коллекция инсталяции","ru",NULL
"191","Ссылка на доп товары","ru",NULL
"192","Клавиша","ru",
"193","Тип инсталляции","ru",
"194","Минимальное давление (бар)","ru",NULL
"195","Для клавиш","ru",NULL
"196","Максимальное давление (бар)","ru",
"197","Регулировка по высоте, мм","ru",NULL
"198","Гарантия производителя","ru",NULL
"199","Тип управления","ru",NULL
"200","Заводская настройка смыва, л","ru",
"201","Совместим с любым подвесным унитазом","ru",NULL
"202","Размер упаковки","ru",NULL
"203","Метод крепления","ru",NULL
"204","Потребляемая мощность,кВт  ","ru",
"205","Напряжение питания,В  ","ru",
"206","Класс изоляции двигателя ","ru",
"207","Частота вращения,об/мин ","ru",
"208","Шариковые подшипники   ","ru",
"209","Шнуровой выключатель ","ru",
"210","Обратный клапан  ","ru",
"211","Автоматический таймер   ","ru",
"212","Уровень звукового давления,дБ(А) ","ru",
"213","Макс. расход воздуха (м3/ч) ","ru",
"214","Регулируемый таймер   ","ru",
"215","Регулируемый гигростат ","ru",
"216","Датчик движения  ","ru",
"217","Класс защиты IP  ","ru",
"218","Тип электродвигателя ","ru",
"219","Световой индикатор ","ru",
"220","Присоединительный диаметр мм  ","ru",
"221","Напряжение питания 12 в ","ru",
"222","Диаметр воздуховода,мм  ","ru",
"223","Производство ","ru",
"224","Длина, мм ","ru",